filename,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us)
rex_output/workloadf/10/timeseries_1.txt,111475.804,798,609855,108241.41836734694,937,611082
rex_output/workloadf/10/histogram_1.txt,103155.486,774,609562,104233.55010224949,902,509516
rex_output/workloadf/10/histogram_2.txt,108826.886,433,619450,106710.9718875502,542,555172
rex_output/workloadf/3/timeseries_2.txt,566563.125,862,1520328,557771.6856581533,924,1478297
rex_output/workloadf/3/timeseries_1.txt,550530.453,411,1578100,576724.1830985915,856,1579547
rex_output/workloadf/3/histogram_1.txt,553391.436,879,1450842,565421.2712550607,889,1429466
rex_output/workloadf/3/histogram_2.txt,582165.648,648,1260095,572720.0094339623,504,1269842
redis_output/workloadb/16/timeseries_2.txt,4890.671957671958,75,78750,7383.963636363636,163,76482
redis_output/workloadb/16/timeseries_1.txt,3813.585547290117,67,78970,3544.2881355932204,237,78003
redis_output/workloadb/16/histogram_1.txt,3765.9281942977823,96,56007,8606.0,387,51341
redis_output/workloadb/16/histogram_2.txt,3754.614814814815,113,55569,6037.4,286,58325
redis_output/workloadb/6/timeseries_2.txt,772.4123273113709,52,38440,633.4745762711865,157,2998
redis_output/workloadb/6/timeseries_1.txt,3004.121212121212,108,72436,1732.7674418604652,356,28594
redis_output/workloadb/6/histogram_1.txt,2430.7033542976937,93,69195,6679.847826086957,242,59339
redis_output/workloadb/6/histogram_2.txt,2013.6110531803963,69,108326,2315.560975609756,194,68281
redis_output/workloadb/10/timeseries_2.txt,4140.872228088701,67,73767,1665.2075471698113,356,38386
redis_output/workloadb/10/timeseries_1.txt,2414.595588235294,70,50834,3478.5625,178,44855
redis_output/workloadb/10/histogram_1.txt,2087.668810289389,45,70642,2926.686567164179,258,56962
redis_output/workloadb/10/histogram_2.txt,3752.7662061636556,75,71454,3311.406779661017,147,68545
redis_output/workloadb/3/timeseries_2.txt,548.7015086206897,73,11457,683.1111111111111,177,2924
redis_output/workloadb/3/timeseries_1.txt,542.6390086206897,62,10024,935.9305555555555,163,11223
redis_output/workloadb/3/histogram_1.txt,520.1528662420383,55,13224,898.5689655172414,123,13252
redis_output/workloadb/3/histogram_2.txt,668.0679205851619,63,12861,988.5581395348837,152,9606
redis_output/workloadc/16/timeseries_2.txt,5688.293,69,100975,,,
redis_output/workloadc/16/timeseries_1.txt,4536.342,74,173567,,,
redis_output/workloadc/16/histogram_1.txt,3299.328,84,76918,,,
redis_output/workloadc/16/histogram_2.txt,4304.097,69,67521,,,
redis_output/workloadc/6/timeseries_2.txt,1763.626,104,64929,,,
redis_output/workloadc/6/timeseries_1.txt,3211.706,108,87690,,,
redis_output/workloadc/6/histogram_1.txt,3581.066,122,75691,,,
redis_output/workloadc/6/histogram_2.txt,2351.165,65,52122,,,
redis_output/workloadc/10/timeseries_2.txt,1770.655,70,47790,,,
redis_output/workloadc/10/timeseries_1.txt,5079.058,129,129446,,,
redis_output/workloadc/10/histogram_1.txt,2429.838,112,51023,,,
redis_output/workloadc/10/histogram_2.txt,3372.96,96,78485,,,
redis_output/workloadc/3/timeseries_2.txt,550.577,63,9807,,,
redis_output/workloadc/3/timeseries_1.txt,523.895,50,9957,,,
redis_output/workloadc/3/histogram_1.txt,548.88,68,9664,,,
redis_output/workloadc/3/histogram_2.txt,603.644,54,9519,,,
redis_output/workloadd/16/timeseries_2.txt,2418.492179353493,36,60344,,,
redis_output/workloadd/16/timeseries_1.txt,1770.909282700422,83,65457,,,
redis_output/workloadd/16/histogram_1.txt,6687.892291446674,83,104619,,,
redis_output/workloadd/16/histogram_2.txt,3246.6994652406415,50,71984,,,
redis_output/workloadd/6/timeseries_2.txt,2916.768008474576,92,67516,,,
redis_output/workloadd/6/timeseries_1.txt,1761.68487394958,64,66355,,,
redis_output/workloadd/6/histogram_1.txt,2223.535714285714,113,60411,,,
redis_output/workloadd/6/histogram_2.txt,1001.4302203567681,52,41888,,,
redis_output/workloadd/10/timeseries_2.txt,2856.973849372385,140,70944,,,
redis_output/workloadd/10/timeseries_1.txt,2526.463336875664,111,64582,,,
redis_output/workloadd/10/histogram_1.txt,3211.6163391933815,129,78935,,,
redis_output/workloadd/10/histogram_2.txt,2269.154334038055,84,48458,,,
redis_output/workloadd/3/timeseries_2.txt,631.3503184713376,67,11029,,,
redis_output/workloadd/3/timeseries_1.txt,573.4385593220339,58,9368,,,
redis_output/workloadd/3/histogram_1.txt,535.0710553814002,59,9711,,,
redis_output/workloadd/3/histogram_2.txt,608.1439153439153,60,10435,,,
redis_output/workloada/16/timeseries_2.txt,3243.761044176707,70,95196,3860.3027888446213,102,88293
redis_output/workloada/16/timeseries_1.txt,2186.946611909651,90,68151,2249.4249512670567,126,68891
redis_output/workloada/16/histogram_1.txt,3106.139393939394,107,57512,3818.5722772277227,119,60600
redis_output/workloada/16/histogram_2.txt,3648.6403162055335,140,75455,4249.044534412956,107,81326
redis_output/workloada/6/timeseries_2.txt,3383.5967741935483,95,90334,3623.1329365079364,135,83036
redis_output/workloada/6/timeseries_1.txt,1959.0775510204082,87,51427,2016.729411764706,91,49915
redis_output/workloada/6/histogram_1.txt,2561.920570264766,87,52282,2112.214145383104,146,39503
redis_output/workloada/6/histogram_2.txt,1706.3153988868276,66,49849,2115.2125813449024,116,54778
redis_output/workloada/10/timeseries_2.txt,3117.6298449612405,80,59501,3040.03305785124,123,63007
redis_output/workloada/10/timeseries_1.txt,6528.845714285714,168,94771,5766.58947368421,204,148452
redis_output/workloada/10/histogram_1.txt,1671.2747474747475,89,59744,1745.6019801980199,176,59244
redis_output/workloada/10/histogram_2.txt,3727.483234714004,96,56040,3824.425963488844,110,60616
redis_output/workloada/3/timeseries_2.txt,680.5199203187251,74,12719,803.285140562249,119,12647
redis_output/workloada/3/timeseries_1.txt,493.58058252427185,80,12282,579.6494845360825,89,12558
redis_output/workloada/3/histogram_1.txt,614.0693877551021,77,7141,643.7549019607843,72,4652
redis_output/workloada/3/histogram_2.txt,620.1437768240344,55,12485,633.4887640449438,96,12343
redis_output/workloadf/16/timeseries_2.txt,2460.919,37,69537,528.2327935222672,71,10223
redis_output/workloadf/16/timeseries_1.txt,4339.332,81,82252,545.0864197530864,126,4635
redis_output/workloadf/16/histogram_1.txt,4252.396,106,82402,709.2530120481928,105,3957
redis_output/workloadf/16/histogram_2.txt,2835.267,94,46856,654.2220113851993,102,11232
redis_output/workloadf/6/timeseries_2.txt,1433.284,53,57752,491.6620553359684,90,2262
redis_output/workloadf/6/timeseries_1.txt,1694.3,47,41615,549.2138492871691,75,3529
redis_output/workloadf/6/histogram_1.txt,1099.559,57,40403,466.10556621881,63,4106
redis_output/workloadf/6/histogram_2.txt,2181.589,90,67506,614.2485207100592,161,2389
redis_output/workloadf/10/timeseries_2.txt,4211.381,66,115866,747.2,91,9082
redis_output/workloadf/10/timeseries_1.txt,4088.74,70,105398,1040.2298624754421,85,14073
redis_output/workloadf/10/histogram_1.txt,1923.63,40,58467,519.3373015873016,76,3685
redis_output/workloadf/10/histogram_2.txt,2962.571,62,95238,726.6806387225549,82,7851
redis_output/workloadf/3/timeseries_2.txt,518.16,59,9302,573.8209523809523,71,8799
redis_output/workloadf/3/timeseries_1.txt,617.793,52,13809,622.4656188605109,82,12886
redis_output/workloadf/3/histogram_1.txt,580.396,51,12421,624.3211382113822,66,13850
redis_output/workloadf/3/histogram_2.txt,783.933,66,69908,677.4475806451613,80,11683
