filename,READ-MODIFY-WRITE_AverageLatency(us),READ-MODIFY-WRITE_MinLatency(us),READ-MODIFY-WRITE_MaxLatency(us),INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us)
redis_output/workloadc/10/histogram_1.txt,,,,,,
redis_output/workloadc/10/histogram_2.txt,,,,,,
redis_output/workloadc/3/timeseries_2.txt,,,,,,
redis_output/workloadc/3/timeseries_1.txt,,,,,,
redis_output/workloadc/3/histogram_1.txt,,,,,,
redis_output/workloadc/3/histogram_2.txt,,,,,,
redis_output/workloadd/16/timeseries_2.txt,,,,6628.8536585365855,394,59392
redis_output/workloadd/16/timeseries_1.txt,,,,2528.1153846153848,455,52694
redis_output/workloadd/16/histogram_1.txt,,,,4477.528301886792,537,96961
redis_output/workloadd/16/histogram_2.txt,,,,6569.630769230769,1057,65900
redis_output/workloadd/6/timeseries_2.txt,,,,4869.5,796,67278
redis_output/workloadd/6/timeseries_1.txt,,,,6816.3125,490,51227
redis_output/workloadd/6/histogram_1.txt,,,,4031.25,551,54523
redis_output/workloadd/6/histogram_2.txt,,,,3686.31914893617,379,43225
redis_output/workloadd/10/timeseries_2.txt,,,,5336.272727272727,685,42633
redis_output/workloadd/10/timeseries_1.txt,,,,6672.610169491525,684,62955
redis_output/workloadd/10/histogram_1.txt,,,,9676.39393939394,804,65919
redis_output/workloadd/10/histogram_2.txt,,,,4449.611111111111,506,36175
redis_output/workloadd/3/timeseries_2.txt,,,,2260.0172413793102,357,13315
redis_output/workloadd/3/timeseries_1.txt,,,,1848.892857142857,416,10158
redis_output/workloadd/3/histogram_1.txt,,,,1699.7441860465117,359,11401
redis_output/workloadd/3/histogram_2.txt,,,,1348.0181818181818,279,4456
redis_output/workloada/16/timeseries_2.txt,,,,,,
redis_output/workloada/16/timeseries_1.txt,,,,,,
redis_output/workloada/16/histogram_1.txt,,,,,,
redis_output/workloada/16/histogram_2.txt,,,,,,
redis_output/workloada/6/timeseries_2.txt,,,,,,
redis_output/workloada/6/timeseries_1.txt,,,,,,
redis_output/workloada/6/histogram_1.txt,,,,,,
redis_output/workloada/6/histogram_2.txt,,,,,,
redis_output/workloada/10/timeseries_2.txt,,,,,,
redis_output/workloada/10/timeseries_1.txt,,,,,,
redis_output/workloada/10/histogram_1.txt,,,,,,
redis_output/workloada/10/histogram_2.txt,,,,,,
redis_output/workloada/3/timeseries_2.txt,,,,,,
redis_output/workloada/3/timeseries_1.txt,,,,,,
redis_output/workloada/3/histogram_1.txt,,,,,,
redis_output/workloada/3/histogram_2.txt,,,,,,
redis_output/workloadf/16/timeseries_2.txt,,,,,,
redis_output/workloadf/16/timeseries_1.txt,,,,,,
redis_output/workloadf/16/histogram_1.txt,,,,,,
redis_output/workloadf/16/histogram_2.txt,,,,,,
redis_output/workloadf/6/timeseries_2.txt,,,,,,
redis_output/workloadf/6/timeseries_1.txt,,,,,,
redis_output/workloadf/6/histogram_1.txt,,,,,,
redis_output/workloadf/6/histogram_2.txt,,,,,,
redis_output/workloadf/10/timeseries_2.txt,,,,,,
redis_output/workloadf/10/timeseries_1.txt,,,,,,
redis_output/workloadf/10/histogram_1.txt,,,,,,
redis_output/workloadf/10/histogram_2.txt,,,,,,
redis_output/workloadf/3/timeseries_2.txt,,,,,,
redis_output/workloadf/3/timeseries_1.txt,,,,,,
redis_output/workloadf/3/histogram_1.txt,,,,,,
redis_output/workloadf/3/histogram_2.txt,,,,,,
