filename,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us)
rex_output/workloadf/10/timeseries_1.txt,3258.011,229,10353,3295.481012658228,260,8899
rex_output/workloadf/10/histogram_1.txt,2962.938,347,12146,2974.1332007952287,365,14329
rex_output/workloadf/10/histogram_2.txt,2967.08,326,13066,2883.121272365805,199,11652
rex_output/workloadf/3/timeseries_2.txt,2707.449,262,8705,2935.237424547284,290,7619
rex_output/workloadf/3/timeseries_1.txt,2725.328,229,7727,2849.595703125,259,7183
rex_output/workloadf/3/histogram_1.txt,3083.974,248,7927,3177.5808383233534,182,8125
rex_output/workloadf/3/histogram_2.txt,2791.016,253,9475,2728.1192468619247,165,9342
redis_output/workloadb/16/timeseries_2.txt,1113.6339662447258,45,8947,2845.826923076923,104,6948
redis_output/workloadb/16/timeseries_1.txt,1225.170053475936,34,10711,3280.230769230769,125,10360
redis_output/workloadb/16/histogram_1.txt,893.7862356621481,66,8500,2426.487804878049,127,9970
redis_output/workloadb/16/histogram_2.txt,1328.6165099268549,39,19192,2976.3023255813955,169,11463
redis_output/workloadb/6/timeseries_2.txt,768.9810725552051,83,11588,1083.3673469387754,171,8020
redis_output/workloadb/6/timeseries_1.txt,1138.2123430962342,84,10755,1910.6818181818182,224,9294
redis_output/workloadb/6/histogram_1.txt,515.9144050104384,46,4820,928.952380952381,171,4574
redis_output/workloadb/6/histogram_2.txt,529.1210855949896,60,5364,948.2380952380952,129,4965
redis_output/workloadb/10/timeseries_2.txt,1034.8274058577406,52,8577,2239.590909090909,182,8515
redis_output/workloadb/10/timeseries_1.txt,1034.7799791449427,34,5639,1824.0731707317073,303,5363
redis_output/workloadb/10/histogram_1.txt,920.8431578947368,47,5550,1532.52,224,5909
redis_output/workloadb/10/histogram_2.txt,1171.3238696109358,39,17549,2181.612244897959,108,16521
redis_output/workloadb/3/timeseries_2.txt,711.2589098532495,86,4050,1093.0652173913043,127,4081
redis_output/workloadb/3/timeseries_1.txt,877.2549427679501,85,7688,941.3589743589744,168,7044
redis_output/workloadb/3/histogram_1.txt,623.8972457627119,52,5833,1032.5714285714287,107,5284
redis_output/workloadb/3/histogram_2.txt,876.0277481323373,69,8566,1067.095238095238,113,8303
redis_output/workloadc/16/timeseries_2.txt,852.536,52,5047,,,
redis_output/workloadc/16/timeseries_1.txt,950.37,61,5471,,,
redis_output/workloadc/16/histogram_1.txt,756.158,71,5129,,,
redis_output/workloadc/16/histogram_2.txt,800.757,79,4879,,,
redis_output/workloadc/6/timeseries_2.txt,654.028,86,10180,,,
redis_output/workloadc/6/timeseries_1.txt,721.733,98,11749,,,
redis_output/workloadc/6/histogram_1.txt,599.031,88,4186,,,
redis_output/workloadc/6/histogram_2.txt,494.101,37,15318,,,
redis_output/workloadc/10/timeseries_2.txt,446.153,60,4857,,,
redis_output/workloadc/10/timeseries_1.txt,735.796,91,5245,,,
redis_output/workloadc/10/histogram_1.txt,853.722,100,4900,,,
